WKT,c_barri,c_carrer_id,c_codi_carrer,c_data_que_va_rebre_la_denominacio,c_denominacio,c_exp_historica_refos,c_fonts_refos,c_genere,c_nom_carrer_actual,c_period,c_segle,c_subtipologia,c_tipologia
"MULTILINESTRING ((2.16863 41.37669,2.1691 41.37639),(2.16837 41.37685,2.16863 41.37669),(2.16823 41.37693,2.16837 41.37685),(2.16566 41.37855,2.16615 41.37824),(2.16615 41.37824,2.16685 41.3778),(2.1673 41.37751,2.16823 41.37693),(2.16685 41.3778,2.1673 41.37751))",Raval,139,68503,1383,carrer,Documentat l'any 1383 en una escriptura com a camí que va del monestir de Sant Pau al carrer del Pedró.,Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Carretes,Medieval,S. XIV,Civil,Infraestructura
"LINESTRING (2.16823 41.37693,2.16788 41.3765)",Raval,140,158752,1806,carrer,Fa referència a una bomba per elevar l’aigua d’un pou.,"Ponsetí Vives, Miquel. Fitxes de nomenclatura,1986.",,hort de la bomba,Contemporani,S. XIX,Civil,Infraestructura
"LINESTRING (2.1673 41.37751,2.16687 41.3771)",Raval,141,177305,0,carrer,"Es desconeix l’origen del nom, podria estar vinculat al liberalisme revolucionari del segle XIX.",,,de la Lleialtat,Contemporani,S. XIX,,Origen desconegut
"LINESTRING (2.1673 41.37751,2.16729 41.37738)",Raval,142,701724,2011,placeta,"Miquel Pallés i Pons (1938-2001) florista nascut a Cabrera de Mar. Vicepresident de la Associació de Veïns i d'Amics de la Rambla. President dels Floristes de la Rambla, conseller del Districte i President de l'Arca de Noé. Casat amb la popular florista de la rambla Carolina Galté. Membre de més de trenta entitats de la Ciutat, impulsà el carnaval de Barcelona, així com la recuperació de la tradicional figura de l'home dels nassos.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Miquel Pallés,Contemporani,S. XXI,Altres,Persona
"MULTILINESTRING ((2.16788 41.3765,2.16872 41.37598),(2.16524 41.3781,2.16687 41.3771),(2.16744 41.37676,2.16788 41.3765),(2.16687 41.3771,2.16744 41.37676))",Raval,143,277809,1827,carrer,Maria Josepa Amàlia de Saxònia (1803-1829). Tercera esposa de Ferran VII. El nom del carrer recorda la visita que la reina consort va fer a Barcelona el 4 de desembre de 1827.,Víctor Balaguer. Las calles de Barcelona en 1865.,Dona,Reina Amàlia,Contemporani,S. XIX,Aristocràcia,Persona
"MULTILINESTRING ((2.16657 41.37605,2.16744 41.37676),(2.16687 41.3771,2.1661 41.3764))",Raval,144,170500,1963,plaça,"Josep Maria Folch i Torres (Barcelona, 1880 - 1950). Novel·lista, narrador i autor teatral. La seva extensa obra està dedicada especialment als infants.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Josep M. Folch i Torres,Contemporani,S. XX,Escriptor/a,Persona
"LINESTRING (2.16858 41.37587,2.16683 41.37587)",Raval,145,127409,0,carrer,Nom popular del carrer.,Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,de les Flors,Contemporani,S. XIX,,Al·legòric
"LINESTRING (2.16932 41.37652,2.16906 41.3767,2.16883 41.37685,2.16863 41.37669)",Raval,146,20609,1828,carrer,"Camí agrícola amb un arc, que connectava els horts amb Sant Pau del Camp.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,arc de Sant Pau,Contemporani,S. XIX,Civil,Infraestructura
"LINESTRING (2.16979 41.37498,2.16979 41.37507,2.16979 41.37523,2.1697 41.37531,2.16939 41.37556,2.16899 41.37587,2.16872 41.37598)",Raval,149,500,0,carrer,"Joan de Safont i de Ferrer (1789-1847). Historiador, filòsof i benedictí. Darrer abat de Sant Pau del Camp. Catedràtic de filosofia en el Col·legi de Sant Pau del Camp fins a l'exclaustració de 1835. Persona molt erudita i popular, es dedicà a la docència i la divulgació de les ciències físiques. Organitzà un museu i una biblioteca. Va construir una esfera copernicana el·líptica amb la col·laboració de Francesc Arau i Sapons.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Abat Safont,Contemporani,S. XIX,Eclesiàstic,Persona
"MULTILINESTRING ((2.17089 41.37645,2.16998 41.37543),(2.17089 41.37645,2.1716 41.3772))",Raval,150,330300,0,carrer,Per les tàpies que delimitaven l'Hort de Sant Pau amb altres finques.,"Ponsetí Vives, Miquel. Fitxes de nomenclatura,1986.",,De les Tapies,s.d,s.d,Civil,Infraestructura
"LINESTRING (2.1716 41.3772,2.17176 41.37736)",Raval,151,701180,1995,plaça," Pere Coromines i Montanya (1870-1939). Escriptor, polític, advocat, economista, periodista i historiador barceloní. Membre fundador de l'Institut d'Estudis Catalans, regidor de l'Ajuntament de Barcelona (1909) i president de l'Ateneu Barcelonès (1928-1930). President de la coalició d'esquerres Unió Federal Nacionalista Republicana, diputat a les Corts (1910-1914) i per Esquerra Republicana (1936), i redactor de l'Estatut d'Autonomia de Núria, i conseller de Justícia i Dret amb el president Macià. Morirà a l’exili en Buenos Aires.","Izquierdo, S. Pere Coromines 1870-1939. Barcelona: Fundació Josep Irla, 2009.",Home,Pere Coromines,s.d,S. XX,Escriptor/a,Persona
"MULTILINESTRING ((2.16545 41.37054,2.16558 41.37029),(2.16642 41.37149,2.16545 41.37054),(2.16696 41.37201,2.16642 41.37149),(2.16843 41.37344,2.16788 41.37291),(2.16914 41.3741,2.16843 41.37344),(2.16749 41.37254,2.16696 41.37201),(2.16788 41.37291,2.16749 41.37254),(2.17126 41.37621,2.17081 41.37577),(2.17205 41.37697,2.17126 41.37621),(2.17468 41.3795,2.1738 41.37864),(2.17334 41.3782,2.17289 41.37777),(2.1738 41.37864,2.17334 41.3782),(2.17251 41.37741,2.17205 41.37697),(2.17289 41.37777,2.17251 41.37741),(2.17 41.37497,2.16914 41.3741),(2.17081 41.37577,2.17 41.37497))",Raval,152,86902,1931,carrer,"El carrer s’obre l'any 1788 per iniciativa de Francisco González de Bassecourt comte del Asalto, capità general de Catalunya (1778 -1789) i corregidor de Barcelona, nom que se li dona. Però sempre va ser popularment conegut amb el nom de Nou de la Rambla, oficialment reconegut durant la Segona República i, novament, des de l'any 1979.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Nou de la Rambla,II Republicà,S. XX,,Referencial
"LINESTRING (2.17205 41.37767,2.17192 41.37753)",Raval,153,701212,1996,plaça,"André Pieyre de Mandiargues (1909-1991). Escriptor, poeta surrealista i novel·lista, nascut a Paris. L'any 1967 guanyà el premi Goncourt amb la novel·la El marge, ambientada al barri Xino de Barcelona i escrita a partir de la seva estada a Barcelona.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Pieyre de Mandiargues,Contemporani,S. XX,Escriptor/a,Persona
"MULTILINESTRING ((2.1711 41.37821,2.1717 41.37788),(2.17205 41.37767,2.17251 41.37741),(2.1717 41.37788,2.17205 41.37767))",Raval,154,310405,1791,carrer,"Ramon Nonat (1204.1240) religiós mercedari, cardenal. Es dubte de la seva existència.","Ferrando, J. Iconografía de los santos. Barcelona: Omega, 1950.; Víctor Balaguer. Las calles de Barcelona en 1865.",Home,Sant Ramon,Contemporani,S. XVIII,Eclesiàstic,Persona
"MULTILINESTRING ((2.17121 41.37739,2.1717 41.37788),(2.17283 41.37898,2.1717 41.37788))",Raval,155,198258,1791,carrer,"L’any 1791 l’Ajuntament aprovà l’obertura del carrer arran del projecte presentat per Esteve Galceran de Pinós i Sureda, marqués de Barberà.","Monguiló, E (directora). Carta arqueològica de Barcelona. Intervenció arqueològica al carrer Marqués de Barberà 27. 2006. Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",Home,Marqués de Barberà,s.d,S. XVIII,Aristocràcia,Persona
"MULTILINESTRING ((2.17327 41.37942,2.17283 41.37898),(2.17408 41.3802,2.17327 41.37942))",Raval,156,348907,1840,carrer,"Carrer obert els anys 1836-1840, per unir Marqués de Barberà amb la Rambla. Hi ha dos hipòtesis sobre l’origen del nom, una plantejà que ve de Luís Fermín de Carvajal i Vargas, comte de la Unió, que havia estat governador i capità general del Principat (1794), president de l'Audiència i general en cap de l'exèrcit del Rosselló a la Guerra Gran. L’altre, segons, Roca i Comas, respon al desig d'unió i d'acabament de les bullangues del XIX.","Miquel Ponsetí Vives. Fitxes de nomenclatura,1986. Nomenclàtor de 1980",,Unió,Contemporani,S. XIX,,Diverses propostes
"LINESTRING (2.17224 41.37926,2.17283 41.37898)",Raval,157,317200,0,carrer,"El nom prové per la capella de dedicada a la santa que hi hagué en el mateix carrer. Segons Victor Balaguer encara subsistia al segle XVII. Margarita de Antioquia, santa i màrtir (segles III-IV).",Víctor Balaguer. Las calles de Barcelona en 1865.,,Santa Margarida,s.d,s.d,Religiosa,Infraestructura
"MULTILINESTRING ((2.17327 41.37942,2.17368 41.37923),(2.17262 41.37971,2.17273 41.37965,2.17297 41.37954,2.17327 41.37942))",Raval,158,25704,1699,carrer,"El nom prové del convent de les Filles Penedides de santa Magdalena de l’orde de sant Agustí, aixecat l’any 1699 i enderrocat l’any 1835.","Víctor Balaguer. Las calles de Barcelona en 1865.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,Penedides,s.d,S. XVII,Religiosa,Infraestructura
"MULTILINESTRING ((2.17209 41.37535,2.1729 41.37519),(2.17081 41.37577,2.17109 41.37564,2.17143 41.37552,2.17166 41.37544,2.17209 41.37535))",Raval,159,316707,0,carrer,"Madrona de Tessalònica, màrtir cristiana del segle IV. Una tradició atribueix l’arribada de les seves relíquies a Barcelona el segle IX. El 1562 el Consell de Cent la va declarar co-patrona de la ciutat. En aquest carrer hi havia una imatge de la santa","Mauri, J. Els sants de la diòcesi de Barcelona. Barcelona: Gràfiques Marina, 1957.",Dona,Santa Madrona,s.d,s.d,Sant/a,Persona
"MULTILINESTRING ((2.1729 41.37519,2.17271 41.3748),(2.17297 41.37535,2.1729 41.37519),(2.17315 41.37575,2.17297 41.37535),(2.17328 41.37606,2.17315 41.37575),(2.17418 41.37721,2.17399 41.37706),(2.17451 41.37752,2.17441 41.37741,2.17433 41.37734,2.17418 41.37721),(2.17501 41.37815,2.175 41.37812,2.17475 41.37783,2.17467 41.37773,2.17451 41.37752),(2.17534 41.37846,2.17529 41.37842,2.17513 41.37827,2.17501 41.37815),(2.17353 41.3766,2.17328 41.37606),(2.17399 41.37706,2.17374 41.37686,2.17353 41.3766))",Raval,160,21306,1854,carrer,"Per l’arc de la façana del Teatre Principal, en l’entrada del carrer per la Rambla. L'any 1597, l'Hospital de la Santa Creu començà a aixecar un teatre en una horta davant el portal de Trenta Claus. Des de llavors sempre hi ha hagut en el solar un teatre, dit la Santa Creu i posteriorment Principal.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Arc del Teatre.,Contemporani,S. XIX,Civil,Infraestructura
"MULTILINESTRING ((2.17376 41.37532,2.17365 41.37499),(2.17412 41.37649,2.17396 41.37593),(2.17387 41.37566,2.17376 41.37532),(2.17396 41.37593,2.17387 41.37566))",Raval,161,78008,0,carrer,"Rodrigo Díaz  de Vivar (1048-099), guerrer castellà conegut amb el sobre nom de el Cid, senyor en àrab. Figura històrica i llegendària de l’edat mitjana que va inspirar el cantar de gesta el “cantar del mio Cid”.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Cid,Contemporani,S. XIX,Militar o Heroi de Guerra,Persona
"LINESTRING (2.17387 41.37566,2.17471 41.37556)",Raval,162,212009,0,carrer,"Francisco Espoz Ilundain, conegut com a Francisco Espoz i Mina (1781-1836) militar liberal navarrès, cap de partides guerrilleres en la guerra del francès. S’enfrontarà a l’absolutisme de Ferran VII, i lluitarà contra els carlistes a la primera guerra. Capità general de Catalunya (1835-1836), morirà a la ciutat de Barcelona.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Mina,s.d,S. XIX,Militar o Heroi de Guerra,Persona
"MULTILINESTRING ((2.17396 41.37593,2.17501 41.37573),(2.17328 41.37606,2.17396 41.37593))",Raval,163,252105,0,carrer,"Per la batalla de Peracamps (1840) i el títol de comte de Perecamps. Batalla de la primera carlista entre liberals i carlins en aquesta població del Solsonès. Per aquest enfrontament el general liberal Antonio van Halen y Sarti, que va resultar ferit, rebrà el títol de comte de Perecamps. L’any 1842 aquest mateix general bombardejarà durament Barcelona per fer front a la revolta popular contra el règim d’Espartero.",Víctor Balaguer. Las calles de Barcelona en 1865.,Home,Perecamps,Contemporani,S. XIX,Aristocràcia,Persona
"MULTILINESTRING ((2.17209 41.37535,2.17185 41.37485),(2.17235 41.37594,2.17209 41.37535))",Raval,164,297307,0,carrer,"A peu de Montjuic existia una ermita des del segle XIV dedicada a Sant Bertrand, que donarà nom a unes hortes, i a una platja. L’ermita fou destruïda en les guerres napoleòniques.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Sant Bertrand,Medieval,s.d,Religiosa,Infraestructura
"LINESTRING (2.17297 41.37535,2.17376 41.37532)",Raval,165,39800,0,carrer,"Ramon Berenguer I, dit el Vell (1023-1076). Comte de Barcelona des del 1035. El seu sepulcre i el de la seva esposa Almodis són la catedral de Barcelona.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Ramon Berenguer el Vell,s.d,s.d,Aristocràcia,Persona
"LINESTRING (2.17418 41.37721,2.17491 41.3767)",Raval,171,153806,1922,passatge,Johann Gensfleisch Gutenberg (1398-1468). Se li atribueix la invenció de la impremta mòbil.,Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Gutenberg,Contemporani,S. XX,Científic o Enginyer,Persona
"LINESTRING (2.17289 41.37777,2.17399 41.37706)",Raval,172,116800,1904,carrer,"Substitueix l'any 1904 el nom anterior de carrer de l'Alba, obert el segle XIX, al haver-se desocupat de prostíbuls, per canviar la mala reputació que anava associada.","Almerich, Lluís. Història dels carrers de la Barcelona Vella. Barcelona: Millà, 1949",,Est,Contemporani,S. XX,,Gremis i oficis
"LINESTRING (2.17334 41.3782,2.17451 41.37752)",Raval,173,151505,0,carrer,"Prové de la família Guàrdia i Aymerich originaris del Conflent, propietària dels terrenys. Obert al segle XVIII, Jaume Guàrdia pagà l'empedrat i la claveguera del nou carrer.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Guàrdia,Modern,S. XVIII,,Famílies
"LINESTRING (2.1738 41.37864,2.17485 41.37822)",Raval,174,176302,0,carrer,"Agustín de Lancaster y Araciel (1730-1800), duc de Lancaster, capità general de Catalunya entre 1797 i 1799. Impulsor d’obres públiques a la ciutat, com el passeig de l’esplana. Carrer obert l'any 1797.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Lancaster,Contemporani,S. XVIII,Aristocràcia,Persona
"LINESTRING (2.17501 41.37815,2.17485 41.37822)",Raval,175,701630,2008,placeta,"Anna Murià i Romaní (1904-2002). Escriptora, traductora, periodista i activista barcelonina. Conreà la novel·la, l'assaig, els contes infantils i el teatre. Militant d'Acció Catalana, Esquerra Republicana (1932) i Estat Català (1936); membre de la Unió de Dones de Catalunya, i cofundadora del Grup Sindical d'Escriptors Catalans. Durant la Guerra Civil fou secretària de la Institució de les Lletres Catalanes, també redactora i després directora del Diario de Barcelona, sent la primera dona que dirigirà un diari català. El 1939 s'exilià a França, passant per altres països fins a arribar a Mèxic. El 1970, tornà a Catalunya i continuà la seva obra literària. Col·laborà en Cavall Fort i Tretzevents, guanyà el premi Josep Maria Folch i Torres (1974) amb la novel·la El meravellós viatge de Nico Huehuetl a través de Mèxic.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Dona,d’Anna Murià,Contemporani,S. XXI,Escriptor/a,Persona
"MULTILINESTRING ((2.17491 41.3767,2.17479 41.37636),(2.17507 41.37709,2.17491 41.3767))",Raval,176,77504,1965,carrer,"Municipi del Baix Llobregat. Llinatge nobiliari català. El carrer Floristes de la Rambla es va anomenar de Cervelló fins a 16/09/1965, data en què es va inaugurar l'actual carrer, llavors recentment obert.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Cervelló,Contemporani,S. XX,,Geogràfic
"LINESTRING (2.1761 41.3777,2.17581 41.37764,2.17571 41.37762,2.17563 41.37759,2.17496 41.37718)",Raval,177,317801,0,carrer,"El nom del carrer prové del Convent de Santa Mònica, consagrat l’any 1636. Santa Mònica (332-387) mare de sant Agustí.","Cayetano Barraquer y Roviralta. Las casas de religiosos en Cataluña durante el primer tercio del siglo XIX. Imprenta de Francisco J. Altés. Barcelona, 1906.",,Santa Mónica,Modern,S. XVII,Religiosa,Infraestructura
"MULTILINESTRING ((2.17451 41.37752,2.17496 41.37718),(2.17507 41.37709,2.17576 41.37659),(2.17496 41.37718,2.17507 41.37709))",Raval,178,220200,1823,carrer,"Massís muntanyós entre les comarques del Bages, l'Anoia i el Baix Llobregat. Monestir benedictí dedicat a la Mare de Déu de Montserrat.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Montserrat,Guerra del Francès-Trienni liberal,S. XIX,,Geogràfic
"MULTILINESTRING ((2.17235 41.37594,2.17315 41.37575),(2.17126 41.37621,2.17235 41.37594))",Raval,179,234602,0,carrer,"El nom del carrer ve probablement d’un arbre que hi havia quan es va obrir el carrer, a mitjans del segle XVIII.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Om,Modern,S. XVIII,,Referencial
"MULTILINESTRING ((2.1769 41.38566,2.17716 41.38585),(2.17829 41.38672,2.17852 41.38692,2.17892 41.38714),(2.17716 41.38585,2.17768 41.38623),(2.17768 41.38623,2.17829 41.38672))",Sant Pere-Santa Caterina-Ribera,181,132952,1972,avinguda,"Francesc Cambó i Batlle (Verges, Baix Empordà, 2 de setembre de 1876 — Buenos Aires, 30 d’abril de 1947). Polític, advocat i financer. Un dels fundadors de la Lliga Regionalista que entre d’altres càrrecs importants destacà el de ministre d’Hisenda i Foment. El 1901 fou elegit regidor de Barcelona. Diputat a les corts del novembre del 1933, després dels fets del Sis d’Octubre de 1934 hi tornà a afirmar la realitat del problema català i defensà el manteniment del règim estatutari de Catalunya. Gran propulsor de la cultura catalana.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Enciclopèdia catalana https://www.enciclopedia.cat",Home,Francesc Cambó,Franquisme,S. XX,Polític,Persona
"MULTILINESTRING ((2.1805 41.39157,2.18133 41.39221),(2.18133 41.39221,2.18235 41.39297))",Sant Pere-Santa Caterina-Ribera,182,362409,1929,avinguda,"Arnau de Vilanova (?, 1238/40? — Gènova, 6 de setembre de 1311). Metge, reformista espiritual i escriptor en català i en llatí. Les seves obres científiques i mediques li donaren gran fama pòstuma.
Probablement, el metge més important del món llatí medieval. Se li coneixia com el “metge de Reis i Papes”.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Enciclopèdia catalana https://www.enciclopedia.cat",Home,Vilanova,Contemporani,S. XX,Metge/essa,Persona
"MULTILINESTRING ((2.18373 41.38309,2.18392 41.38333),(2.18392 41.38333,2.1841 41.38355),(2.1841 41.38355,2.18431 41.38381),(2.18486 41.38445,2.18585 41.38559),(2.18454 41.38407,2.18463 41.38416),(2.18463 41.38416,2.18486 41.38445),(2.18431 41.38381,2.18441 41.38392),(2.18454 41.38407,2.18441 41.38392))",Sant Pere-Santa Caterina-Ribera,183,198203,1939,avinguda,"Eduard Maristany i Gibert (Barcelona, 1855 — Barcelona, 1941). Enginyer. Va aconseguir el títol de marquès de l’Argentera gràcies a un complex treball d’enginyeria que publicà en tres volums al 1891-92 anomenat El túnel d’Argentera del Baix Camp. Fou inspector estatal dels ferrocarrils de Catalunya i, posteriorment, enginyer de les obres dels ferrocarrils de Tarragona a Barcelona i França. Va projectar diverses línies ferroviàries de Catalunya, València, Balears i d’Aragó. A més, va fer construir l’estació de França de Barcelona per la companyia Madrid-Saragossa-Alacant.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Enciclopèdia catalana http://www.enciclopedia.cat",Home,Marquès de l'Argentera,Contemporani,S. XX,Aristocràcia,Persona
"MULTILINESTRING ((2.18399 41.38454,2.18463 41.38416),(2.18308 41.38512,2.18348 41.38486),(2.18372 41.38472,2.18399 41.38454),(2.18348 41.38486,2.18372 41.38472))",Sant Pere-Santa Caterina-Ribera,184,17502,0,carrer,"A finals del segle XVIII, l’Ajuntament autoritzà al capità general per construir unes cases damunt del rec Comtal tal com ho havia concedit el rei Carles IV.
Ja en el segle XIX, es començaren a bastir aquelles casetes baixes i que per l'espai d'una vuitantena d'anys limitaren per aquest cantó aquell passeig de Sant Joan, desaparegut l'any 1874.",Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator,,Antic de Sant Joan,Contemporani,S. XVIII,,Geogràfic
"MULTILINESTRING ((2.18408 41.38604,2.18475 41.38554),(2.18341 41.38655,2.18408 41.38604))",Sant Pere-Santa Caterina-Ribera,185,85207,0,carrer,"Quan es va inaugurar el mercat del Born, el 28 de novembre de 1870, es va atorgar aquest carrer simultàniament amb el del Comerç.",Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator,,Comercial,s.d,S. XIX,,Al·legòric
"MULTILINESTRING ((2.18078 41.38526,2.18111 41.38553),(2.18111 41.38553,2.1812 41.38559,2.1813 41.38566,2.18142 41.38574,2.18148 41.38579))",Sant Pere-Santa Caterina-Ribera,186,93704,2002,carrer,El nom d’aquest carrer prové del forn Jaume des Fonts que es va incendiar al segle XV.,"Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Els carrers de Ciutat Vella Josep Maria Vilarrúbia i Estrany i Jordi Jové i Permanyer",,Cremat i Gran Xic,Contemporani,S. XVI,,Gremis i oficis
"LINESTRING (2.17568 41.38752,2.17487 41.38817)",Sant Pere-Santa Caterina-Ribera,187,13104,1940,carrer,"Amadeu Vives i Roig (Collbató, Baix Llobregat, 18 de novembre de 1871 — Madrid, 2 de desembre de 1932). Compositor. Un dels fundadors de l'Orfeó Català (1891), al qual dedicà les seves obres corals, entre les que destaquen la cèlebre L’emigrant (1890) i Follies i paisatges, suite en cinc parts (1928). Entre d’altres obres es va fer famós per la música de sarsueles.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Els carrers de Ciutat Vella Josep Maria Vilarrúbia i Estrany i Jordi Jové i Permanyer
Enciclòpedia Catalana http:www.enciclopedia.cat",Home,Amadeu Vives,Franquisme,S. XX,Músic,Persona
"LINESTRING (2.17947 41.38783,2.17972 41.38801)",Sant Pere-Santa Caterina-Ribera,188,24009,1907,carrer,"Hi ha dues versions. D’una banda, en el llibre Els carrers de Ciutat Vella diu que el Nomenclàtor 1980 relaciona aquest carrer amb Pere Armengol i Cornet (1837-1896), jurista barceloní que destacà en l’estudi de les qüestions penitenciàries i que va ser un dels promotors de la nova presó cel·lular de Barcelona.
D’altra banda el Nomenclàtor de l’Ajuntament diu que pertany a Armengol o Ermengol (? - vers el 940). Fill primogènit de Sunyer I, tercer comte de Barcelona, que li donà el territori comtal d'Osona i li atorgà el títol de comte, feudatari de la sobirania del comte de Barcelona. Es diu que morí assassinat al camp de batalla.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Els carrers de Ciutat Vella Josep Maria Vilarrúbia i Estrany i Jordi Jové i Permanyer
Enciclòpedia Catalana http:www.enciclopedia.cat",Home,Armengol,1897-1907,S. XX,,Diverses propostes
"MULTILINESTRING ((2.18056 41.38312,2.18068 41.38327,2.18073 41.38334,2.18077 41.38341),(2.18077 41.38341,2.18085 41.38352,2.18089 41.38358))",Sant Pere-Santa Caterina-Ribera,189,35901,0,carrer,"Hi ha diverses versions d’aquest carrer. Segons Els Carrers de Ciutat Vella diu que Victor Balaguer apunta dues possibilitats per a aquest nom de carrer. La primera indica que aquest nom recorda el d’una família anomenada Baseya. L’altra suposa l’existència en aquest indret d’una acadèmia de tir de ballesta anomenat bassetja.
Curet per contraposició, creu que el nom actual ve d’un anterior nom Basília, com a femení de Basili”. Aquesta última precisió coincideix amb el nomenclàtor de l’Ajuntament.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Vilarrúbia, J. M, i Jové, Jordi. Els carrers de la Ciutat Vella. Barcelona: Fundació la Caixa, 1990.",,Basea,Contemporani,S. XIX,,Famílies
"MULTILINESTRING ((2.18273 41.39007,2.18345 41.39061),(2.18345 41.39061,2.18457 41.39146),(2.18687 41.39326,2.18703 41.39328,2.18795 41.39395),(2.18457 41.39146,2.18574 41.39231),(2.18574 41.39231,2.18687 41.39313))",Sant Pere-Santa Caterina-Ribera,190,50803,1932,carrer,"Buenaventura Muñoz Rodríguez (Escalona -Toledo, 14.07.1853 – Madrid, 19.10.1925). Jurista i president del Tribunal Suprem.
Fou President de l’Audiència de Barcelona, governador civil de Barcelona i magistrat del Tribunal Suprem on també va prendre possessió com a fiscal i fou nombrat president.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Real Academia de la Historia – Diccionario Bibliográfico Español http://dbe.rah.es 
Vilarrúbia, J. M, i Jové, Jordi. Els carrers de la Ciutat Vella. Barcelona: Fundació la Caixa, 1990.",Home,Buenaventura Muñoz,II Republicà,S. XX,Polític,Persona
"MULTILINESTRING ((2.18286 41.38471,2.18327 41.38452),(2.18351 41.38441,2.18352 41.38436,2.1838 41.38425),(2.18327 41.38452,2.18351 41.38441))",Sant Pere-Santa Caterina-Ribera,191,55104,1929,carrer,"Nom de cognom dels senyors de les baronies de Segur i Pierola, antiga nissaga noble catalana. D’aquesta família, va destacar Lluís Joan de Calders, conseller en cap de Barcelona el 1639.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Vilarrúbia, J. M, i Jové, Jordi. Els carrers de la Ciutat Vella. Barcelona: Fundació la Caixa, 1990.",,Calders,Contemporani,S. XX,,Famílies
"MULTILINESTRING ((2.17926 41.38594,2.17942 41.38611),(2.1788 41.38547,2.17905 41.38574),(2.17905 41.38574,2.17926 41.38594))",Sant Pere-Santa Caterina-Ribera,192,82606,0,carrer,"Hi ha dues versions. D’una banda, el nomenclàtor de l’Ajuntament diu que no es coneix l'origen del nom, però probablement es tracta del cognom d'una família ja establerta al carrer al segle XIV.
D’altra banda, en Els Carrers de Ciutat Vella diu que l’Ajuntament relaciona aquest cognom amb Llucià Colominas (Perpinyà?-Ciutat de Mallorca 1460) escriptor i humanista.","Web de l’Ajuntament de Barcelona del nomenclàtor dels carrers: http://www.bcn.cat/nomenclator 
Vilarrúbia, J. M, i Jové, Jordi. Els carrers de la Ciutat Vella. Barcelona: Fundació la Caixa, 1990.",,Colomines,Contemporani,S. XIV,,Diverses propostes
